,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
87,80,SlowbroMega Slowbro,Water,Psychic,590,95,75,180,130,80,30,1,False
90,83,Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,False
92,85,Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,False
93,86,Seel,Water,,325,65,45,55,45,70,45,1,False
94,87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,False
95,88,Grimer,Poison,,325,80,80,50,40,50,25,1,False
96,89,Muk,Poison,,500,105,105,75,65,100,50,1,False
101,94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,False
102,94,GengarMega Gengar,Ghost,Poison,600,60,65,80,170,95,130,1,False
104,96,Drowzee,Psychic,,328,60,48,45,43,90,42,1,False
105,97,Hypno,Psychic,,483,85,73,70,73,115,67,1,False
107,99,Kingler,Water,,475,55,130,115,50,50,75,1,False
109,101,Electrode,Electric,,480,60,50,70,80,80,140,1,False
110,102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,False
111,103,Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,1,False
113,105,Marowak,Ground,,425,60,80,110,50,80,45,1,False
116,108,Lickitung,Normal,,385,90,55,75,60,75,30,1,False
118,110,Weezing,Poison,,490,65,90,120,85,70,60,1,False
119,111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,False
120,112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,False
121,113,Chansey,Normal,,450,250,5,5,35,105,50,1,False
122,114,Tangela,Grass,,435,65,55,115,100,40,60,1,False
123,115,Kangaskhan,Normal,,490,105,95,80,40,80,90,1,False
124,115,KangaskhanMega Kangaskhan,Normal,,590,105,125,100,60,100,100,1,False
126,117,Seadra,Water,,440,55,65,95,95,45,85,1,False
128,119,Seaking,Water,,450,80,92,65,65,80,68,1,False
130,121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,False
132,123,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,False
133,124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,False
134,125,Electabuzz,Electric,,490,65,83,57,95,85,105,1,False
135,126,Magmar,Fire,,495,65,95,57,100,85,93,1,False
136,127,Pinsir,Bug,,500,65,125,100,55,70,85,1,False
137,127,PinsirMega Pinsir,Bug,Flying,600,65,155,120,65,90,105,1,False
138,128,Tauros,Normal,,490,75,100,95,40,70,110,1,False
140,130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False
141,130,GyaradosMega Gyarados,Water,Dark,640,95,155,109,70,130,81,1,False
142,131,Lapras,Water,Ice,535,130,85,80,85,95,60,1,False
144,133,Eevee,Normal,,325,55,55,50,45,65,55,1,False
145,134,Vaporeon,Water,,525,130,65,60,110,95,65,1,False
146,135,Jolteon,Electric,,525,65,65,60,110,95,130,1,False
147,136,Flareon,Fire,,525,65,130,60,95,110,65,1,False
148,137,Porygon,Normal,,395,65,60,70,85,75,40,1,False
150,139,Omastar,Rock,Water,495,70,60,125,115,70,55,1,False
152,141,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,False
153,142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False
154,142,AerodactylMega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,1,False
155,143,Snorlax,Normal,,540,160,110,65,65,110,30,1,False
156,144,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,True
157,145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True
158,146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,True
160,148,Dragonair,Dragon,,420,61,84,65,70,70,70,1,False
161,149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,False
162,150,Mewtwo,Psychic,,680,106,110,90,154,90,130,1,True
163,150,MewtwoMega Mewtwo X,Psychic,Fighting,780,106,190,100,154,100,130,1,True
164,150,MewtwoMega Mewtwo Y,Psychic,,780,106,150,70,194,120,140,1,True
165,151,Mew,Psychic,,600,100,100,100,100,100,100,1,False
167,153,Bayleef,Grass,,405,60,62,80,63,80,60,2,False
168,154,Meganium,Grass,,525,80,82,100,83,100,80,2,False
170,156,Quilava,Fire,,405,58,64,58,80,65,80,2,False
171,157,Typhlosion,Fire,,534,78,84,78,109,85,100,2,False
173,159,Croconaw,Water,,405,65,80,80,59,63,58,2,False
174,160,Feraligatr,Water,,530,85,105,100,79,83,78,2,False
176,162,Furret,Normal,,415,85,76,64,45,55,90,2,False
177,163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,2,False
178,164,Noctowl,Normal,Flying,442,100,50,50,76,96,70,2,False
180,166,Ledian,Bug,Flying,390,55,35,50,55,110,85,2,False
182,168,Ariados,Bug,Poison,390,70,90,70,60,60,40,2,False
183,169,Crobat,Poison,Flying,535,85,90,80,70,80,130,2,False
184,170,Chinchou,Water,Electric,330,75,38,38,56,56,67,2,False
185,171,Lanturn,Water,Electric,460,125,58,58,76,76,67,2,False
188,174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,2,False
190,176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,2,False
192,178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,2,False
193,179,Mareep,Electric,,280,55,40,40,65,45,35,2,False
194,180,Flaaffy,Electric,,365,70,55,55,80,60,45,2,False
195,181,Ampharos,Electric,,510,90,75,85,115,90,55,2,False
196,181,AmpharosMega Ampharos,Electric,Dragon,610,90,95,105,165,110,45,2,False
197,182,Bellossom,Grass,,490,75,80,95,90,100,50,2,False
198,183,Marill,Water,Fairy,250,70,20,50,20,50,40,2,False
199,184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,2,False
200,185,Sudowoodo,Rock,,410,70,100,115,30,65,30,2,False
201,186,Politoed,Water,,500,90,75,75,90,100,70,2,False
203,188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,2,False
204,189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,2,False
205,190,Aipom,Normal,,360,55,70,55,40,55,85,2,False
207,192,Sunflora,Grass,,425,75,75,55,105,85,30,2,False
208,193,Yanma,Bug,Flying,390,65,65,45,75,45,95,2,False
209,194,Wooper,Water,Ground,210,55,45,45,25,25,15,2,False
210,195,Quagsire,Water,Ground,430,95,85,85,65,65,35,2,False
211,196,Espeon,Psychic,,525,65,65,60,130,95,110,2,False
212,197,Umbreon,Dark,,525,95,65,110,60,130,65,2,False
213,198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,2,False
214,199,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,False
215,200,Misdreavus,Ghost,,435,60,60,60,85,85,85,2,False
217,202,Wobbuffet,Psychic,,405,190,33,58,33,58,33,2,False
218,203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,False
220,205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,False
221,206,Dunsparce,Normal,,415,100,70,70,65,65,45,2,False
222,207,Gligar,Ground,Flying,430,65,75,105,35,65,85,2,False
223,208,Steelix,Steel,Ground,510,75,85,200,55,65,30,2,False
224,208,SteelixMega Steelix,Steel,Ground,610,75,125,230,55,95,30,2,False
225,209,Snubbull,Fairy,,300,60,80,50,40,40,30,2,False
226,210,Granbull,Fairy,,450,90,120,75,60,60,45,2,False
227,211,Qwilfish,Water,Poison,430,65,95,75,55,55,85,2,False
228,212,Scizor,Bug,Steel,500,70,130,100,55,80,65,2,False
229,212,ScizorMega Scizor,Bug,Steel,600,70,150,140,65,100,75,2,False
231,214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,False
232,214,HeracrossMega Heracross,Bug,Fighting,600,80,185,115,40,105,75,2,False
233,215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,2,False
234,216,Teddiursa,Normal,,330,60,80,50,50,50,40,2,False
235,217,Ursaring,Normal,,500,90,130,75,75,75,55,2,False
239,221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,2,False
240,222,Corsola,Water,Rock,380,55,55,85,65,85,35,2,False
242,224,Octillery,Water,,480,75,105,75,105,75,45,2,False
244,226,Mantine,Water,Flying,465,65,40,70,80,140,70,2,False
245,227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,False
247,229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,False
248,229,HoundoomMega Houndoom,Dark,Fire,600,75,90,90,140,90,115,2,False
249,230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,False
250,231,Phanpy,Ground,,330,90,60,60,40,40,40,2,False
251,232,Donphan,Ground,,500,90,120,120,60,60,50,2,False
252,233,Porygon2,Normal,,515,85,80,90,105,95,60,2,False
253,234,Stantler,Normal,,465,73,95,62,85,65,85,2,False
254,235,Smeargle,Normal,,250,55,20,35,20,45,75,2,False
260,241,Miltank,Normal,,490,95,80,105,40,70,100,2,False
261,242,Blissey,Normal,,540,255,10,10,75,135,55,2,False
262,243,Raikou,Electric,,580,90,85,75,115,100,115,2,True
263,244,Entei,Fire,,580,115,115,85,90,75,100,2,True
264,245,Suicune,Water,,580,100,75,115,90,115,85,2,True
266,247,Pupitar,Rock,Ground,410,70,84,70,65,70,51,2,False
267,248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,False
268,248,TyranitarMega Tyranitar,Rock,Dark,700,100,164,150,95,120,71,2,False
269,249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,2,True
270,250,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,2,True
271,251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,False
274,254,Sceptile,Grass,,530,70,85,65,105,85,120,3,False
275,254,SceptileMega Sceptile,Grass,Dragon,630,70,110,75,145,85,145,3,False
277,256,Combusken,Fire,Fighting,405,60,85,60,85,60,55,3,False
278,257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,False
279,257,BlazikenMega Blaziken,Fire,Fighting,630,80,160,80,130,80,100,3,False
281,259,Marshtomp,Water,Ground,405,70,85,70,60,70,50,3,False
282,260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,False
283,260,SwampertMega Swampert,Water,Ground,635,100,150,110,95,110,70,3,False
285,262,Mightyena,Dark,,420,70,90,70,60,60,70,3,False
287,264,Linoone,Normal,,420,78,70,61,50,61,100,3,False
290,267,Beautifly,Bug,Flying,395,60,70,50,100,50,65,3,False
292,269,Dustox,Bug,Poison,385,60,50,70,50,90,65,3,False
294,271,Lombre,Water,Grass,340,60,50,50,60,70,50,3,False
295,272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,3,False
297,274,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,3,False
298,275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,3,False
300,277,Swellow,Normal,Flying,430,60,85,60,50,50,125,3,False
302,279,Pelipper,Water,Flying,430,60,50,100,85,70,65,3,False
305,282,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,3,False
306,282,GardevoirMega Gardevoir,Psychic,Fairy,618,68,85,65,165,135,100,3,False
308,284,Masquerain,Bug,Flying,414,70,60,62,80,82,60,3,False
309,285,Shroomish,Grass,,295,60,40,60,40,60,35,3,False
310,286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,False
311,287,Slakoth,Normal,,280,60,60,60,35,35,30,3,False
312,288,Vigoroth,Normal,,440,80,80,80,55,55,90,3,False
313,289,Slaking,Normal,,670,150,160,100,95,65,100,3,False
315,291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,False
317,293,Whismur,Normal,,240,64,51,23,51,23,28,3,False
318,294,Loudred,Normal,,360,84,71,43,71,43,48,3,False
319,295,Exploud,Normal,,490,104,91,63,91,73,68,3,False
320,296,Makuhita,Fighting,,237,72,60,30,20,30,25,3,False
321,297,Hariyama,Fighting,,474,144,120,60,40,60,50,3,False
325,301,Delcatty,Normal,,380,70,65,65,55,55,70,3,False
331,305,Lairon,Steel,Rock,430,60,90,140,50,50,40,3,False
332,306,Aggron,Steel,Rock,530,70,110,180,60,60,50,3,False
333,306,AggronMega Aggron,Steel,,630,70,140,230,60,80,50,3,False
335,308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,3,False
336,308,MedichamMega Medicham,Fighting,Psychic,510,60,100,85,80,85,100,3,False
338,310,Manectric,Electric,,475,70,75,60,105,60,105,3,False
339,310,ManectricMega Manectric,Electric,,575,70,75,80,135,80,135,3,False
340,311,Plusle,Electric,,405,60,50,40,85,75,95,3,False
341,312,Minun,Electric,,405,60,40,50,75,85,95,3,False
342,313,Volbeat,Bug,,400,65,73,55,47,75,85,3,False
343,314,Illumise,Bug,,400,65,47,55,73,75,85,3,False
345,316,Gulpin,Poison,,302,70,43,53,43,53,40,3,False
346,317,Swalot,Poison,,467,100,73,83,73,83,55,3,False
348,319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,3,False
349,319,SharpedoMega Sharpedo,Water,Dark,560,70,140,70,110,65,105,3,False
350,320,Wailmer,Water,,400,130,70,35,70,35,60,3,False
351,321,Wailord,Water,,500,170,90,45,90,45,60,3,False
352,322,Numel,Fire,Ground,305,60,60,40,65,45,35,3,False
353,323,Camerupt,Fire,Ground,460,70,100,70,105,75,40,3,False
354,323,CameruptMega Camerupt,Fire,Ground,560,70,120,100,145,105,20,3,False
355,324,Torkoal,Fire,,470,70,85,140,85,70,20,3,False
356,325,Spoink,Psychic,,330,60,25,35,70,80,60,3,False
357,326,Grumpig,Psychic,,470,80,45,65,90,110,80,3,False
358,327,Spinda,Normal,,360,60,60,60,60,60,60,3,False
361,330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,False
363,332,Cacturne,Grass,Dark,475,70,115,60,115,60,55,3,False
365,334,Altaria,Dragon,Flying,490,75,70,90,70,105,80,3,False
366,334,AltariaMega Altaria,Dragon,Fairy,590,75,110,110,110,105,80,3,False
367,335,Zangoose,Normal,,458,73,115,60,60,60,90,3,False
368,336,Seviper,Poison,,458,73,100,60,100,60,65,3,False
369,337,Lunatone,Rock,Psychic,440,70,55,65,95,85,70,3,False
370,338,Solrock,Rock,Psychic,440,70,95,85,55,65,70,3,False
372,340,Whiscash,Water,Ground,468,110,78,73,76,71,60,3,False
374,342,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,3,False
376,344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,False
377,345,Lileep,Rock,Grass,355,66,41,77,61,87,23,3,False
378,346,Cradily,Rock,Grass,495,86,81,97,81,107,43,3,False
380,348,Armaldo,Rock,Bug,495,75,125,100,70,80,45,3,False
382,350,Milotic,Water,,540,95,60,79,100,125,81,3,False
383,351,Castform,Normal,,420,70,70,70,70,70,70,3,False
384,352,Kecleon,Normal,,440,60,90,70,60,120,40,3,False
386,354,Banette,Ghost,,455,64,115,65,83,63,65,3,False
387,354,BanetteMega Banette,Ghost,,555,64,165,75,93,83,75,3,False
390,357,Tropius,Grass,Flying,460,99,68,83,72,87,51,3,False
391,358,Chimecho,Psychic,,425,65,50,70,95,80,65,3,False
392,359,Absol,Dark,,465,65,130,60,75,60,75,3,False
393,359,AbsolMega Absol,Dark,,565,65,150,60,115,60,115,3,False
394,360,Wynaut,Psychic,,260,95,23,48,23,48,23,3,False
396,362,Glalie,Ice,,480,80,80,80,80,80,80,3,False
397,362,GlalieMega Glalie,Ice,,580,80,120,80,120,80,100,3,False
398,363,Spheal,Ice,Water,290,70,40,50,55,50,25,3,False
399,364,Sealeo,Ice,Water,410,90,60,70,75,70,45,3,False
400,365,Walrein,Ice,Water,530,110,80,90,95,90,65,3,False
402,367,Huntail,Water,,485,55,104,105,94,75,52,3,False
403,368,Gorebyss,Water,,485,55,84,105,114,75,52,3,False
404,369,Relicanth,Water,Rock,485,100,90,130,45,65,55,3,False
407,372,Shelgon,Dragon,,420,65,95,100,60,50,50,3,False
408,373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,3,False
409,373,SalamenceMega Salamence,Dragon,Flying,700,95,145,130,120,90,120,3,False
411,375,Metang,Steel,Psychic,420,60,75,100,55,80,50,3,False
412,376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,3,False
413,376,MetagrossMega Metagross,Steel,Psychic,700,80,145,150,105,110,110,3,False
414,377,Regirock,Rock,,580,80,100,200,50,100,50,3,True
415,378,Regice,Ice,,580,80,50,100,100,200,50,3,True
416,379,Registeel,Steel,,580,80,75,150,75,150,50,3,True
417,380,Latias,Dragon,Psychic,600,80,80,90,110,130,110,3,True
418,380,LatiasMega Latias,Dragon,Psychic,700,80,100,120,140,150,110,3,True
419,381,Latios,Dragon,Psychic,600,80,90,80,130,110,110,3,True
420,381,LatiosMega Latios,Dragon,Psychic,700,80,130,100,160,120,110,3,True
421,382,Kyogre,Water,,670,100,100,90,150,140,90,3,True
422,382,KyogrePrimal Kyogre,Water,,770,100,150,90,180,160,90,3,True
423,383,Groudon,Ground,,670,100,150,140,100,90,90,3,True
424,383,GroudonPrimal Groudon,Ground,Fire,770,100,180,160,150,90,90,3,True
425,384,Rayquaza,Dragon,Flying,680,105,150,90,150,90,95,3,True
426,384,RayquazaMega Rayquaza,Dragon,Flying,780,105,180,100,180,100,115,3,True
427,385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,3,True
432,387,Turtwig,Grass,,318,55,68,64,45,55,31,4,False
433,388,Grotle,Grass,,405,75,89,85,55,65,36,4,False
434,389,Torterra,Grass,Ground,525,95,109,105,75,85,56,4,False
436,391,Monferno,Fire,Fighting,405,64,78,52,78,52,81,4,False
437,392,Infernape,Fire,Fighting,534,76,104,71,104,71,108,4,False
438,393,Piplup,Water,,314,53,51,53,61,56,40,4,False
439,394,Prinplup,Water,,405,64,66,68,81,76,50,4,False
440,395,Empoleon,Water,Steel,530,84,86,88,111,101,60,4,False
442,397,Staravia,Normal,Flying,340,55,75,50,40,40,80,4,False
443,398,Staraptor,Normal,Flying,485,85,120,70,50,60,100,4,False
444,399,Bidoof,Normal,,250,59,45,40,35,40,31,4,False
445,400,Bibarel,Normal,Water,410,79,85,60,55,60,71,4,False
447,402,Kricketune,Bug,,384,77,85,51,55,51,65,4,False
449,404,Luxio,Electric,,363,60,85,49,60,49,60,4,False
450,405,Luxray,Electric,,523,80,120,79,95,79,70,4,False
452,407,Roserade,Grass,Poison,515,60,70,65,125,105,90,4,False
453,408,Cranidos,Rock,,350,67,125,40,30,30,58,4,False
454,409,Rampardos,Rock,,495,97,165,60,65,50,58,4,False
456,411,Bastiodon,Rock,Steel,495,60,52,168,47,138,30,4,False
458,413,WormadamPlant Cloak,Bug,Grass,424,60,59,85,79,105,36,4,False
459,413,WormadamSandy Cloak,Bug,Ground,424,60,79,105,59,85,36,4,False
460,413,WormadamTrash Cloak,Bug,Steel,424,60,69,95,69,95,36,4,False
461,414,Mothim,Bug,Flying,424,70,94,50,94,50,66,4,False
463,416,Vespiquen,Bug,Flying,474,70,80,102,80,102,40,4,False
464,417,Pachirisu,Electric,,405,60,45,70,45,90,95,4,False
465,418,Buizel,Water,,330,55,65,35,60,30,85,4,False
466,419,Floatzel,Water,,495,85,105,55,85,50,115,4,False
468,421,Cherrim,Grass,,450,70,60,70,87,78,85,4,False
469,422,Shellos,Water,,325,76,48,48,57,62,34,4,False
470,423,Gastrodon,Water,Ground,475,111,83,68,92,82,39,4,False
471,424,Ambipom,Normal,,482,75,100,66,60,66,115,4,False
472,425,Drifloon,Ghost,Flying,348,90,50,34,60,44,70,4,False
473,426,Drifblim,Ghost,Flying,498,150,80,44,90,54,80,4,False
474,427,Buneary,Normal,,350,55,66,44,44,56,85,4,False
475,428,Lopunny,Normal,,480,65,76,84,54,96,105,4,False
476,428,LopunnyMega Lopunny,Normal,Fighting,580,65,136,94,54,96,135,4,False
477,429,Mismagius,Ghost,,495,60,60,60,105,105,105,4,False
478,430,Honchkrow,Dark,Flying,505,100,125,52,105,52,71,4,False
480,432,Purugly,Normal,,452,71,82,64,64,59,112,4,False
482,434,Stunky,Poison,Dark,329,63,63,47,41,41,74,4,False
483,435,Skuntank,Poison,Dark,479,103,93,67,71,61,84,4,False
484,436,Bronzor,Steel,Psychic,300,57,24,86,24,86,23,4,False
485,437,Bronzong,Steel,Psychic,500,67,89,116,79,116,33,4,False
488,440,Happiny,Normal,,220,100,5,5,15,65,30,4,False
489,441,Chatot,Normal,Flying,411,76,65,45,92,42,91,4,False
491,443,Gible,Dragon,Ground,300,58,70,45,40,45,42,4,False
492,444,Gabite,Dragon,Ground,410,68,90,65,50,55,82,4,False
493,445,Garchomp,Dragon,Ground,600,108,130,95,80,85,102,4,False
494,445,GarchompMega Garchomp,Dragon,Ground,700,108,170,115,120,95,92,4,False
495,446,Munchlax,Normal,,390,135,85,40,40,85,5,4,False
497,448,Lucario,Fighting,Steel,525,70,110,70,115,70,90,4,False
498,448,LucarioMega Lucario,Fighting,Steel,625,70,145,88,140,70,112,4,False
499,449,Hippopotas,Ground,,330,68,72,78,38,42,32,4,False
500,450,Hippowdon,Ground,,525,108,112,118,68,72,47,4,False
502,452,Drapion,Poison,Dark,500,70,90,110,60,75,95,4,False
504,454,Toxicroak,Poison,Fighting,490,83,106,65,86,65,85,4,False
505,455,Carnivine,Grass,,454,74,100,72,90,72,46,4,False
507,457,Lumineon,Water,,460,69,69,76,69,86,91,4,False
509,459,Snover,Grass,Ice,334,60,62,50,62,60,40,4,False
510,460,Abomasnow,Grass,Ice,494,90,92,75,92,85,60,4,False
511,460,AbomasnowMega Abomasnow,Grass,Ice,594,90,132,105,132,105,30,4,False
512,461,Weavile,Dark,Ice,510,70,120,65,45,85,125,4,False
513,462,Magnezone,Electric,Steel,535,70,70,115,130,90,60,4,False
514,463,Lickilicky,Normal,,515,110,85,95,80,95,50,4,False
515,464,Rhyperior,Ground,Rock,535,115,140,130,55,55,40,4,False
516,465,Tangrowth,Grass,,535,100,100,125,110,50,50,4,False
517,466,Electivire,Electric,,540,75,123,67,95,85,95,4,False
518,467,Magmortar,Fire,,540,75,95,67,125,95,83,4,False
519,468,Togekiss,Fairy,Flying,545,85,50,95,120,115,80,4,False
520,469,Yanmega,Bug,Flying,515,86,76,86,116,56,95,4,False
521,470,Leafeon,Grass,,525,65,110,130,60,65,95,4,False
522,471,Glaceon,Ice,,525,65,60,110,130,95,65,4,False
523,472,Gliscor,Ground,Flying,510,75,95,125,45,75,95,4,False
524,473,Mamoswine,Ice,Ground,530,110,130,80,70,60,80,4,False
525,474,Porygon-Z,Normal,,535,85,80,70,135,75,90,4,False
526,475,Gallade,Psychic,Fighting,518,68,125,65,65,115,80,4,False
527,475,GalladeMega Gallade,Psychic,Fighting,618,68,165,95,65,115,110,4,False
528,476,Probopass,Rock,Steel,525,60,55,145,75,150,40,4,False
530,478,Froslass,Ice,Ghost,480,70,80,70,80,70,110,4,False
537,480,Uxie,Psychic,,580,75,75,130,75,130,95,4,True
538,481,Mesprit,Psychic,,580,80,105,105,105,105,80,4,True
539,482,Azelf,Psychic,,580,75,125,70,125,70,115,4,True
540,483,Dialga,Steel,Dragon,680,100,120,120,150,100,90,4,True
541,484,Palkia,Water,Dragon,680,90,120,100,150,120,100,4,True
542,485,Heatran,Fire,Steel,600,91,90,106,130,106,77,4,True
543,486,Regigigas,Normal,,670,110,160,110,80,110,100,4,True
544,487,GiratinaAltered Forme,Ghost,Dragon,680,150,100,120,100,120,90,4,True
545,487,GiratinaOrigin Forme,Ghost,Dragon,680,150,120,100,120,100,90,4,True
546,488,Cresselia,Psychic,,600,120,70,120,75,130,85,4,False
547,489,Phione,Water,,480,80,80,80,80,80,80,4,False
548,490,Manaphy,Water,,600,100,100,100,100,100,100,4,False
549,491,Darkrai,Dark,,600,70,90,90,135,90,125,4,True
